response_id	created_at	created_at_formatted	email	github_username	first_name	last_name	nickname	graduation_class	hometown	majors	scheduling	learning_objectives	learning_objective_data	learning_objective_career	learning_objective_grad	work_experience	work_experience_business	work_experience_tech	work_experience_public	work_experience_other	work_experience_social_media	interests	interest_adventure	interest_arts	interest_business	interest_public	interest_stem	personal_computer	operating_system	operating_system_usage_windows	operating_system_usage_mac	operating_system_usage_ios	operating_system_usage_android	software_usage_word	software_usage_docs	software_usage_excel	software_usage_sheets	software_usage_powerpoint	software_usage_slides	software_usage_viso	software_usage_lucidchart	software_usage_access	tools_usage_email	tools_usage_blackboard	tools_usage_gchat	tools_usage_slack	tech_usage_csv	tech_usage_json	tech_usage_sql	tech_usage_xml	tech_usage_html	tech_usage_css	tech_usage_javascript	tech_usage_java	tech_usage_php	tech_usage_ruby	tech_usage_python	tech_usage_c_plus_plus	tech_usage_visual_basic	tech_usage_c_sharp	tech_usage_c	tech_usage_objective_c	tech_usage_perl	tech_usage_r	tech_usage_dot_net	tools_usage_hipchat	tools_usage_irc	tools_usage_aws	tools_usage_github	tools_usage_bitbucket	website_experience	mentorship_comfort	meetup_comfort	dbms_oracle	dbms_microsoft	dbms_sap	dbms_ibm	dbms_intersystems	dbms_enterbrisedb	dbms_marklogic	dbms_datastax	dbms_mariadb	dbms_mongodb	dbms_couchbase	dbms_aerospike	dbms_mysql	dbms_postgresql	dbms_sqlite
11	9/2/2015 16:14:17	2015-09-02 16:14:17	#redacted	#redacted	#redacted	#redacted	#redacted	Graduate Student	Rochester, NY	Information Systems		#redacted	1	0	0	#redacted	0	0	0	1	0	#redacted	1	0	1	0	1	Yes	Mac OS	Can use with comfort	Can use with ease	Can use with ease	Can use with comfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Never heard of	Heard of but never used	Heard of but never used	Can use with ease	Can use with ease	Can use with ease	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	No	Sounds stressful. I'm scared.	Sounds fine.	Never heard of	Can use with ease	Never heard of	Can use with ease	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of
12	9/2/2015 16:15:00	2015-09-02 16:15:00	#redacted	#redacted	#redacted	#redacted		Graduate Student	china	Information Systems		#redacted	0	1	0	#redacted	1	0	0	0	0	#redacted	0	0	1	0	1	Yes	Mac OS	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Used a few times but with discomfort	Used a few times but with discomfort	Can use with comfort	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Can use with comfort	Can use with comfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Yes	Sounds fine.	Sounds fine.	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Never heard of
13	9/2/2015 16:15:02	2015-09-02 16:15:02	#redacted	#redacted	#redacted	#redacted		Senior	Marblehead, MA	Systems Engineering		#redacted	1	0	0	#redacted	1	1	1	0	0	#redacted	0	1	1	0	0	Yes	Mac OS	Can use with comfort	Can use with ease	Can use with comfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Used a few times but with discomfort	Can use with comfort	Heard of but never used	Can use with ease	Can use with ease	Can use with comfort	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Never heard of	No	Sounds stressful. I'm scared.	Sounds stressful. I'm scared.	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of
14	9/2/2015 16:15:14	2015-09-02 16:15:14	#redacted	#redacted	#redacted	#redacted		Senior	Seattle	Systems Engineering	Class immediately after	#redacted	1	0	1	#redacted	1	0	0	0	0	#redacted	1	1	0	1	1	Yes	Mac OS	Can use with ease	Can use with ease	Can use with comfort	Heard of but never used	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Never heard of	Never heard of	Can use with comfort	Can use with ease	Can use with ease	Can use with comfort	Never heard of	Never heard of	Never heard of	Used a few times but with discomfort	Used a few times but with discomfort	Used a few times but with discomfort	Never heard of	Can use with comfort	Can use with comfort	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Used a few times but with discomfort	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Yes	Sounds fine.	Sounds fun. Can't wait.	Heard of but never used	Used a few times but with discomfort	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Used a few times but with discomfort	Never heard of	Used a few times but with discomfort
15	9/2/2015 16:15:32	2015-09-02 16:15:32	#redacted	#redacted	#redacted	#redacted		Junior	Bielefeld, Germany 	Information Systems		#redacted	1	0	0	#redacted	0	1	1	0	0	#redacted	0	0	1	0	1	Yes	Windows OS	Can use with ease	Can use with comfort	Can use with comfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with comfort	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Can use with comfort	Can use with comfort	Used a few times but with discomfort	Used a few times but with discomfort	Used a few times but with discomfort	Heard of but never used	Can use with comfort	Used a few times but with discomfort	Used a few times but with discomfort	Used a few times but with discomfort	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Used a few times but with discomfort	Can use with ease	Used a few times but with discomfort	Yes	Sounds fun. Can't wait.	Sounds fun. Can't wait.	Can use with comfort	Can use with comfort	Used a few times but with discomfort	Used a few times but with discomfort	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Can use with comfort
16	9/2/2015 16:15:39	2015-09-02 16:15:39	#redacted	#redacted	#redacted	#redacted		Senior	Los Angeles	Systems Engineering		#redacted	1	1	1	#redacted	1	0	1	0	0	#redacted	1	0	1	0	1	Yes	Mac OS	Can use with comfort	Can use with ease	Can use with ease	Used a few times but with discomfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Never heard of	Can use with ease	Can use with ease	Can use with comfort	Never heard of	Heard of but never used	Never heard of	Never heard of	Heard of but never used	Can use with comfort	Heard of but never used	Used a few times but with discomfort	Can use with comfort	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Yes	Sounds stressful. I'm scared.	Sounds fine.	Used a few times but with discomfort	Can use with comfort	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of
17	9/2/2015 16:15:58	2015-09-02 16:15:58	#redacted	#redacted	#redacted	#redacted		Senior	Westford	Systems Engineering		#redacted	1	0	0	#redacted	1	1	0	0	0	#redacted	1	0	0	1	1	Yes	Mac OS	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with comfort	Can use with comfort	Can use with comfort	Can use with ease	Can use with ease	Can use with comfort	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Used a few times but with discomfort	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Can use with comfort	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Yes	Sounds fine.	Sounds fun. Can't wait.	Never heard of	Can use with comfort	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of
18	9/2/2015 16:16:04	2015-09-02 16:16:04	#redacted	#redacted	#redacted	#redacted		Senior	Chittenden, Vermont	Systems Engineering		#redacted	0	0	1	#redacted	1	0	0	0	0	#redacted	1	0	1	0	1	Yes	Mac OS	Used a few times but with discomfort	Can use with comfort	Can use with ease	Used a few times but with discomfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Never heard of	Can use with ease	Can use with ease	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Used a few times but with discomfort	Never heard of	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Never heard of	No	Sounds stressful. I'm scared.	Sounds fine.	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of
19	9/2/2015 16:16:55	2015-09-02 16:16:55	#redacted	#redacted	#redacted	#redacted		Senior	Suffern, NY (Rockland County)	Information Systems, Computer Science		#redacted	1	0	1	#redacted	1	1	0	0	0	#redacted	1	1	0	1	0	Yes	Windows OS	Can use with ease	Used a few times but with discomfort	Can use with ease	Used a few times but with discomfort	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Can use with ease	Heard of but never used	Used a few times but with discomfort	Used a few times but with discomfort	Can use with ease	Can use with comfort	Never heard of	Can use with comfort	Heard of but never used	Never heard of	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Can use with ease	Heard of but never used	Heard of but never used	Used a few times but with discomfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Used a few times but with discomfort	Never heard of	No	Sounds fun. Can't wait.	Sounds fun. Can't wait.	Heard of but never used	Can use with ease	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Used a few times but with discomfort	Never heard of	Never heard of
20	9/2/2015 16:16:56	2015-09-02 16:16:56	#redacted	#redacted	#redacted	#redacted	#redacted	Graduate Student	China	Information Systems		#redacted	1	0	0	#redacted	1	1	0	0	0	#redacted	0	0	0	1	1	Yes	Mac OS	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Can use with comfort	Never heard of	Can use with comfort	Heard of but never used	Can use with comfort	Heard of but never used	Never heard of	Never heard of	Used a few times but with discomfort	Can use with ease	Can use with ease	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Never heard of	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Used a few times but with discomfort	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Yes	Sounds fine.	Sounds fine.	Never heard of	Can use with comfort	Never heard of	Heard of but never used	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	Never heard of
21	9/2/2015 16:17:54	2015-09-02 16:17:54	#redacted	#redacted	#redacted	#redacted	#redacted	Graduate Student	Saudi Arabia	Information Systems		#redacted	1	0	0	#redacted	1	1	0	0	0	#redacted	1	0	1	0	1	Yes	Windows OS	Can use with ease	Used a few times but with discomfort	Used a few times but with discomfort	Can use with ease	Can use with ease	Can use with comfort	Can use with ease	Can use with comfort	Can use with ease	Can use with comfort	Can use with ease	Heard of but never used	Used a few times but with discomfort	Can use with ease	Can use with ease	Never heard of	Never heard of	Heard of but never used	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Can use with comfort	Can use with comfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Never heard of	Never heard of	Never heard of	Heard of but never used	Never heard of	No	Sounds stressful. I'm scared.	Sounds fine.	Heard of but never used	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Heard of but never used	Can use with comfort	Heard of but never used	Heard of but never used
