section_id,section_weight,question_id,question_weight,full_credit_criteria:,partial_credit_criteria:
3,0.3,da_1b,0.03,see SQL answers,"0.9 for forgetting the trailing wildcard matcher; else 0.8 for forgetting both wildcard matchers, or for forgetting one and including minor LIKE syntax error; else 0.7 for using LIKE operator; else 0.6 for using a wildcard matcher in WHERE clause; else 0.5 for using a WHERE clause; else 0.2 for selecting listener attributes"
3,0.3,da_2a,0.015,see SQL answers,0.9 for minor syntax errors; else 0.9 for disordered clauses; else 0.9 for sorting in the wrong direction; else 0.9 for using the order and limit strategy without selecting duration_milliseconds; else 0.8 for selecting and ordering by duration_milliseconds but not using LIMIT/TOP 1; else 0.7 for selecting and ordering by duration_milliseconds but not using LIMIT/TOP 1 and not using the right clause name for ORDER BY; else 0.7 for using MAX(duration_milliseconds); else 0.5 for inclusion of MAX(); else 0.4 for using the order and sort approach but forgetting to use LIMIT/TOP; else 0.3 for including duration_milliseconds in SELECT clause; else 0.2 for including duration_milliseconds
3,0.3,da_2b,0.015,see SQL answers,0.9 for minor syntax errors; else 0.9 for disordered clauses; else 0.9 for sorting in the wrong direction; else 0.9 for using the order and limit strategy without selecting duration_milliseconds; else 0.8 for selecting and ordering by duration_milliseconds but not using LIMIT/TOP 1; else 0.7 for using MIN(duration_milliseconds); else 0.5 for inclusion of MIN(); else 0.4 for using the order and sort approach but forgetting to use LIMIT/TOP; 0.3 for using duration_milliseconds in SELECT clause; else 0.2 for including duration_milliseconds
3,0.3,da_3a,0.03,see SQL answers,"0.8 for counting song_id but not uniquely; else 0.7 for proper join, and use of COUNT(); else 0.6 if listing instead of counting songs; else 0.6 for using the proper inner join; else 0.6 for counting song_id but not distinct, and either using a GROUP BY with selection syntax errors or a WHERE clause with errors; else 0.5 for a proper inner join with minor syntax error and using a count; else 0.4 for using count and distinctness; else 0.3 for using COUNT() or distinctness; else 0.2 for a FROM clause"
3,0.3,da_3b,0.045,see SQL answers,0.7 for the proper outer join and where clause; else 0.6 for the proper outer join and where clause but with join syntax error; else 0.6 for proper outer join; else 0.5 for proper join conditions but improper join type; else 0.5 for using an improper inner join and including proper IS NULL in WHERE clause; else 0.4 for using an inner join and NULL syntax error; else 0.4 or 0.3 for using an inner join but optionally improperly; else 0.3 for using COUNT(); else 0.2 for a FROM clause
3,0.3,da_4a,0.03,see SQL answers,"0.9 for not selecting distinct listener attributes; else 0.8 for not selecting distinct and for minor join syntax error; else 0.8 for including extra WHERE clause with errors; else 0.8 if grouping by full_name and counting listener_id but not distinctly; else 0.8 if grouping by full_name and counting distinct listener_id but trying to reference selection aliases in WHERE clause; else 0.6 for proper join clause, possibly with minor syntax errors; else 0.5 for attempted JOIN; else 0.3 for attempted JOIN with fundamental errors; else 0.2 for a FROM clause or a JOIN clause;"
3,0.3,da_4b,0.045,see SQL answers,"0.9 for not selecting distinct; else 0.8 for proper outer join and where clause but with minor syntax errors; else 0.6 for proper outer join; else 0.5 for proper join but improper join type, and use of NULL in WHERE clause; else 0.4 for proper join but improper join type; else 0.3 for selecting listener attributes; else 0.3 for attempted JOIN; else 0.2 for a FROM clause"
3,0.3,da_5a,0.03,see SQL answers,"0.9 for referencing original table name after aliasing to produce an unknown table error; 0.8 for misordering of clauses; else 0.7 for an extra join and filters mixed with join conditions to produce ambiguous selection error; else 0.7 for proper JOIN and WHERE clause conditions; 0.6 for proper JOIN and WHERE clause conditions and either: improper attempt to use GROUP BY, or minor join syntax errors; else 0.6 for proper JOIN and WHERE clause conditions but with minor join or filter syntax errors; else 0.6 for proper join with incorrect filter conditions; else 0.5 for proper WHERE clause conditions; else 0.4 for an improper join and improper filter conditions; else 0.2 for attempting a JOIN or WHERE clause filter"
3,0.3,da_5b,0.03,see SQL answers,0.9 for using numeric operator on a string; 0.9 for use of equality operator instead of IN() operator; 0.8 for misordering of clauses; else 0.8 for minor join syntax errors; else 0.7 for trying to reference selection aliases in the JOIN or WHERE clause; else 0.7 for parentheses syntax errors; else 0.6 for proper JOIN clause with incorrect filter conditions; else 0.5 for proper JOIN clause with incorrect filter conditions and minor join syntax error; else 0.4 for improper join and attempted filter conditions; else 0.2 for attempting a JOIN or a WHERE clause filter
3,0.3,da_5c,0.03,see SQL answers,0.8 for disordered clauses; else 0.8 for forgetting parenthesis in WHERE clause; else 0.7 for trying to reference selection aliases in the JOIN or WHERE clause; else 0.7 for minor join syntax errors and one where clause syntax error; else 0.6 for proper JOIN clause with incorrect filter conditions; else 0.4 for minor join syntax errors and filter syntax errors; else 0.3 for proper join conditions but not proper join type; else 0.3 for improper join and attempted filter conditions; else 0.2 for attempting a JOIN or WHERE clause
3,0.3,da_6a,0.03,see SQL answers,0.9 for syntax error; else 0.7 for proper use of GROUP BY and count distinct but with selection errors; else 0.5 for proper GROUP BY clause and using COUNT(); else 0.4 for proper use of COUNT() or GROUP BY; else 0.3 for using COUNT(); else 0.2 for a proper FROM clause;
3,0.3,da_6b,0.03,see SQL answers,"0.9 for forgetting to order before limiting; 0.8 for proper use of GROUP BY and ORDER BY and LIMIT/TOP, and use of COUNT(); else 0.6 for proper use of GROUP BY and LIMIT/TOP and COUNT(), but forgetting ORDER BY; else 0.5 for proper GROUP BY clause and using COUNT(); else 0.4 for proper GROUP BY clause; else 0.3 for using COUNT(); else 0.2 for a proper FROM clause"
3,0.3,da_6c,0.03,see SQL answers,"0.7 for proper GROUP BY and ORDER BY and LIMIT clauses and using COUNT(); else 0.7 for proper use of GROUP BY and LIMIT/TOP and COUNT(), but forgetting ORDER BY; else 0.6 for proper GROUP BY clause and using COUNT(); else 0.5 for proper WHERE clause; else 0.4 for WHERE clause with minor syntax error; 0.3 for using COUNT(); else 0.2 for a proper FROM clause; "
3,0.3,da_7a,0.03,see SQL answers,0.7 for proper joins and counting songs.id; else 0.6 for proper joins; else 0.5 for an improper extra join; else 0.4 for using COUNT() and attempting a join; else 0.3 for using COUNT(); else 0.3 for attempting joins; else 0.2 for a proper FROM clause; 
3,0.3,da_7b,0.03,see SQL answers,"0.7 for proper outer join and WHERE clause but with a few selection mistakes; 0.6 for proper outer joins; 0.5 for using outer join and/or WHERE clause mentioning NULL; else 0.4 for using outer joins but improperly; else 0.4 for proper join conditions but improper join type, and use of NULL in WHERE clause; else 0.3 for proper join conditions and improper join type and optionally with improper join order or minor join syntax errors; else 0.2 for attempting a JOIN; else 0.2 for using COUNT() and/or distinctness"
3,0.3,da_7c,0.03,see SQL answers,0.7 for using TOP/LIMIT and ORDER BY and GROUP BY clauses; 0.6 for using a TOP/LIMIT clause and ORDER BY clause; else 0.5 for using TOP/LIMIT and ORDER BY and GROUP BY clauses but wrong table join order; else 0.4 for using a TOP or LIMIT clause or proper join; else 0.3 for attempting a join
