submission_id,student_full_name,student_net_id,c1,c2,c3,c_sum,pd_1_songs,pd_2_plays,pd_3_thumbs,pd_4_skips,pd_5_listeners,pd_6_accounts,pd_sum,pd_max,da_1a,da_1b,da_2a,da_2b,da_3a,da_3b,da_4a,da_4b,da_5a,da_5b,da_5c,da_6a,da_6b,da_6c,da_7a,da_7b,da_7c,da_sum,da_max,first_section_pct,second_section_pct,third_section_pct,first_two_section_pct,final_three_section_pct,sql_feedback
36,#REDACTED,#REDACTED,1,0.5,1,34.00%,1.1,1,1.3,1,0.7,1.1,0.31,0.30,1,0.9,0.7,0.7,0.6,0.7,0.6,0,0.7,0.7,0.7,0.9,0.4,0.3,0.6,0.4,0.4,0.2805,0.2805,0.85,1.00,0.94,0.91,0.92,practice join syntax; know when to use HAVING instead of WHERE;
4,#REDACTED,#REDACTED,1,1,0.8,37.60%,0.6,0.7,1,1,1.1,1.1,0.27,0.27,1,0.7,0.8,0.8,0.8,0.6,0.9,0.6,1,1,0,0.5,0.5,0,0.3,0.4,0,0.264,0.264,0.94,0.91,0.88,0.93,0.91,practice selections
8,#REDACTED,#REDACTED,1,1,1,40.00%,1.1,1,1,1,1.1,1,0.31,0.30,0.7,0.5,0.2,0.2,0.3,0.5,1,0.5,0.8,0.6,0.6,0.3,0.3,0,0.3,0.4,0.4,0.207,0.207,1.00,1.00,0.69,1.00,0.91,practice filtering and ordering and aggregating
18,#REDACTED,#REDACTED,0.8,1,1,36.80%,1,1,1,1,1,1,0.30,0.30,1,0.6,1,1,0.2,0.3,0.5,0.3,0.6,0.8,0.4,0.3,0.5,0.4,0.3,0.3,0.3,0.228,0.228,0.92,1.00,0.76,0.95,0.90,study joins; practice selections and filtering and joins and aggregations; remove quotes from join conditions;
20,#REDACTED,#REDACTED,1,1,0.5,34.00%,1,1,1,1,1,0.8,0.29,0.29,0.9,0.8,0.7,0.7,0.6,0.4,0.6,0.5,1,0.7,0.8,0.3,0.2,0.5,0.3,0.2,0.3,0.2595,0.2595,0.85,0.97,0.87,0.90,0.89,study outer joins; practice aggregations
26,#REDACTED,#REDACTED,1,1,1,40.00%,0.5,1,0.9,0.9,0.9,0.9,0.26,0.26,1,1,1,1,0.6,0.2,0.9,0.3,0.6,0.6,0.6,0.3,0.3,0.2,0.3,0.2,0.3,0.2325,0.2325,1.00,0.86,0.78,0.94,0.89,practice selections and joins and aggregations
10,#REDACTED,#REDACTED,0.7,1,1,35.20%,1,1,1,1,1,0.7,0.29,0.29,1,0.5,0.8,0.8,0.6,0.3,0.9,0.3,0.7,0.6,0.6,0.4,0.4,0.5,0.6,0.2,0.4,0.246,0.246,0.88,0.96,0.82,0.91,0.88,"practice outer join syntax, filtering, and selections;"
27,#REDACTED,#REDACTED,1,1,1,40.00%,0.8,1,0.3,0,0.5,1,0.18,0.18,1,1,0.9,0.9,0.7,0.7,0.9,0.9,1,0.6,0.6,0.5,0.2,0.6,0.2,0.5,0.3,0.315,0.3,1.00,0.61,1.00,0.83,0.88,practice selections
19,#REDACTED,#REDACTED,1,1,0,28.00%,1.1,1,1.3,1,1.1,1.1,0.33,0.30,1,0.5,0.3,0.3,1,1,1,1,1,0.9,0.6,0.7,0.5,0.3,0.3,0.7,0.5,0.339,0.3,0.70,1.00,1.00,0.83,0.88,practice selections
28,#REDACTED,#REDACTED,1,1,0.5,34.00%,1,1,1,1,0.5,0.5,0.26,0.26,0.5,0.9,1,1,0.8,0.5,0.9,0.4,1,0.6,0.6,0.3,0.2,0.4,0.3,0.2,0.3,0.2535,0.2535,0.85,0.85,0.85,0.85,0.85,practice selections
23,#REDACTED,#REDACTED,1,0.5,0,22.00%,1,1,1,1,1.1,1,0.30,0.30,1,1,0.7,0.7,1,0.5,0.8,0.5,1,1,0.6,0.9,0.5,0.5,1,0.4,0.6,0.351,0.3,0.55,1.00,1.00,0.74,0.82,learn when to use outer joins;
15,#REDACTED,#REDACTED,1,1,0.8,37.60%,1.1,1,1,1,1,1.1,0.31,0.30,1,0,1,1,1,0,0.6,0.5,0.5,0,0,0.3,0,0,0,0,0,0.1365,0.1365,0.94,1.00,0.46,0.97,0.81,practice join syntax - introduce join conditions with the ON keyword;
1,#REDACTED,#REDACTED,0.7,1,0.8,32.80%,1,1,1,1,0.8,1,0.29,0.29,0.7,1,0.9,0.9,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,0.183,0.183,0.82,0.97,0.61,0.88,0.80,study and practice joins; study clause names and order and max number of times used - use only one SELECT clause per query; practicing grouping and aggregating and filtering and limiting;
5,#REDACTED,#REDACTED,1,1,1,40.00%,0.9,0.9,1,1,0.7,0.7,0.26,0.26,1,0.5,0.2,0.2,0.3,0.3,0.2,0.2,0.5,0.2,0.2,0.3,0,0.2,0.2,0,0,0.1305,0.1305,1.00,0.88,0.44,0.95,0.79,study clause structure and syntax - use only one SELECT clause; study and practice joins; practice filtering and sorting and aggregating;
17,#REDACTED,#REDACTED,0.5,1,0.8,29.60%,0,0.7,1,1,0.7,0.7,0.21,0.21,1,0.6,0.4,0.4,0.3,0.4,0.6,0.4,1,1,1,0.4,0.4,0.4,0.3,0.2,0.4,0.258,0.258,0.74,0.70,0.86,0.72,0.76,study outer joins; practice joins and selections and aggregations; you can use multiple JOIN clauses...;
14,#REDACTED,#REDACTED,1,1,0.5,34.00%,1,1,1,1,0.8,0.5,0.27,0.27,1,0.5,0.4,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0,0.3,0.153,0.153,0.85,0.90,0.51,0.87,0.76,study join syntax; practice joins and aggregations and selections and filtering and grouping
2,#REDACTED,#REDACTED,1,1,1,40.00%,0,0.7,1,0.5,0.5,0.8,0.18,0.18,0.7,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0,0.4,0.132,0.132,1.00,0.61,0.44,0.83,0.72,study and practice joins; practice filtering and selecting and aggregating
35,#REDACTED,#REDACTED,0.8,1,1,36.80%,0.6,0.1,0.5,0.5,0.5,0.7,0.14,0.14,1,0.7,0.3,0.3,0.3,0.3,1,0.3,0.5,1,0.6,0.3,0.3,0.3,0.3,0.2,0,0.201,0.201,0.92,0.47,0.67,0.73,0.71,practice joining and grouping and aggregating and selecting and limiting; know when to use outer joins
9,#REDACTED,#REDACTED,1,0.5,0,22.00%,1,1,1,1,1,0.5,0.28,0.28,0.7,0.2,0.9,0.9,0.5,0.3,0.6,0.3,0.6,0.4,0.3,0.3,0.2,0.2,0.4,0.3,0.6,0.195,0.195,0.55,0.93,0.65,0.71,0.69,study clause order; practice joining and selections and filtering and grouping and aggregations; include both table names in join condition when referencing table attributes; use only one from clause;
21,#REDACTED,#REDACTED,1,1,0,28.00%,0.5,1,0.5,0.5,0.4,0.5,0.18,0.18,1,0.9,0.7,0.7,0.4,0.2,0.6,0.4,1,0.4,0.6,0,0.3,0.5,0.4,0.2,0,0.219,0.219,0.70,0.59,0.73,0.65,0.67,study joins; practice selections and filtering and joins and aggregations;
22,#REDACTED,#REDACTED,1,1,1,40.00%,0.2,0.2,0.3,0.5,0.1,0.2,0.08,0.08,1,0.5,0.3,0.3,0.3,0.4,0.2,0.3,0.4,0.4,0.3,0.2,0.4,0.2,0.2,0.3,0.4,0.1785,0.1785,1.00,0.25,0.60,0.68,0.65,study joins; practice selections and filtering and joins and aggregations;
33,#REDACTED,#REDACTED,1,1,0,28.00%,0.5,1,1,0.7,0.7,0.7,0.24,0.24,0.5,0.5,0.2,0.2,0.2,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1095,0.1095,0.70,0.79,0.37,0.74,0.63,practice selecting and filtering and joining and limiting and ordering
30,#REDACTED,#REDACTED,1,1,0,28.00%,1.1,0.8,1,1,1,0.7,0.28,0.28,0.5,0.5,0,0,0.2,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0.06,0.06,0.70,0.93,0.20,0.80,0.62,begin your study of SQL and get lots of practice
12,#REDACTED,#REDACTED,1,1,0,28.00%,0.8,0.5,1,0.5,0.5,0.5,0.19,0.19,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0.099,0.099,0.70,0.65,0.33,0.68,0.57,begin your study of SQL and get lots of practice;
24,#REDACTED,#REDACTED,0.8,1,0,24.80%,0.5,0,0,0,0,0,0.02,0.02,1,0.9,0.2,0.2,0.2,0.2,0.6,0.5,1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,0.1785,0.1785,0.62,0.08,0.60,0.39,0.45,study query structure and composition; learn when to use outer joins; practice selections and aggregations;
13,#REDACTED,#REDACTED,0.5,1,0,20.00%,0.5,0.5,0.5,0.5,0.5,0.5,0.15,0.15,0.5,0.5,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0.081,0.081,0.50,0.50,0.27,0.50,0.43,begin your study of SQL and get lots of practice;
