"buy_id","buy_start","buyer_name","buyer_party","buyer_type","race_name","race_type","market","state"
1852,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Des Moines-Ames, IA","IOWA"
4083,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4083,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10389,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
10389,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10379,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10379,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
1855,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Des Moines-Ames, IA","IOWA"
3736,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
3736,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
3736,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
3844,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
3844,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
3844,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
3852,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
3852,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
3852,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
2188,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Des Moines-Ames, IA","IOWA"
4075,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4075,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4141,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4141,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4169,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4169,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
75405,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
15256,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
4212,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4212,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4072,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4072,"2012-01-17","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4165,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4165,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10385,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
10385,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4163,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4163,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4070,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4070,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4149,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4149,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4073,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4073,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4092,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4092,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4090,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4090,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4079,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4079,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4158,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4158,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10383,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10383,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10376,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10376,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4210,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4210,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4074,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4074,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4146,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4146,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4164,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4164,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10387,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10387,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4086,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4086,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4147,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4147,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4151,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4151,"2012-01-17","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4071,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4071,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4094,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4094,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4143,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4143,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4080,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4080,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4091,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4091,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4085,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4085,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4152,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4152,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
2506,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","Grand Rapids-Kalamazoo, MI","MICHIGAN"
4156,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4156,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
3893,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
3893,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
3893,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
15249,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
4084,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
4084,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4069,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4069,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
1973,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Des Moines-Ames, IA","IOWA"
4068,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4068,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4097,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4097,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4140,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4140,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
15254,"2012-01-27","Spencer Bachus for Congress","REP","Candidate","House AL6","US HOUSE","Birmingham, AL","ALABAMA"
10721,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","MICHIGAN"
10721,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","INDIANA"
5074,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","MICHIGAN"
5074,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","INDIANA"
10384,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10384,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4203,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4203,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4204,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4204,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4160,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4160,"2012-01-25","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
3892,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
3892,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
3892,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
4162,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4162,"2012-01-05","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
2446,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","Grand Rapids-Kalamazoo, MI","MICHIGAN"
5071,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","MICHIGAN"
5071,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","INDIANA"
10382,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10382,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10377,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10377,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
5087,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","MICHIGAN"
5087,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","South Bend-Elkhart, IN","INDIANA"
2462,"2012-01-13","Michigan Chamber of Commerce","REP","Third Party","House MI6","US HOUSE","Grand Rapids-Kalamazoo, MI","MICHIGAN"
4208,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4208,"2012-01-10","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4148,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4148,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4161,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4161,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10378,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
10378,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10380,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10380,"2012-01-23","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4081,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
4081,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4153,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
4153,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4214,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
4214,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4157,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","OREGON"
4157,"2012-01-19","House Majority PAC","DEM","Third Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4145,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4145,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4207,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4207,"2012-01-24","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10388,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
10388,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4095,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4095,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4142,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4142,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4168,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4168,"2012-01-03","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4205,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4205,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4167,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","OREGON"
4167,"2012-01-10","Democratic Congressional Campaign Committee","DEM","Party","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10606,"2012-01-25","House Majority PAC","DEM","Third Party","House IA3","US HOUSE","Des Moines-Ames, IA","IOWA"
4082,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4082,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4154,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4154,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4209,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4209,"2012-01-10","Suzanne Bonamici for Congress","DEM","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4213,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4213,"2012-01-18","Rob Cornilles/NRCC","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
10375,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
10375,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4155,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4155,"2012-01-17","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
4202,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","OREGON"
4202,"2012-01-03","Rob Cornilles for Congress","REP","Candidate","House OR1","US HOUSE","Portland, OR","WASHINGTON"
16580960,"2012-01-23","American Wind Energy Association","UNF","Third Party","House IA3","US HOUSE","Omaha, NE","NEBRASKA"
16580960,"2012-01-23","American Wind Energy Association","UNF","Third Party","House IA3","US HOUSE","Omaha, NE","IOWA"
16580960,"2012-01-23","American Wind Energy Association","UNF","Third Party","House IA3","US HOUSE","Omaha, NE","MISSOURI"
16580990,"2012-01-23","Mufi Hannemann for Congress","DEM","Candidate","House HI2","US HOUSE","Honolulu, HI","HAWAII"
