student_full_name,student_net_id,student_id,dbms_choice,dba_grade_preliminary,dba_feedback,dba_exec_summ_from_ta,dba_thoroughness_of_analysis_from_ta,dba_aggregations_from_ta,dba_sql_usage_from_ta,dba_grade_from_ta,dba_feedback_from_ta
#REDACTED,#REDACTED,23,,66,good dataset identification and contextual overview; good organization in terms of including summary of findings near the beginning; avoid personal language in summary of findings; analysis could benefit from a general shift in focus from methodologies and dataset properties to the information contained in the dataset; what is the benefit of using `EDIT_DATE` in a where clause?; what is the purpose of selecting distinct star (*)?;  could benefit from the use of aggregate sql clauses and functions;,0.8,0.4,0.2,0.2,66,too simple
#REDACTED,#REDACTED,24,,66,awesome dataset; good dataset context description; could benefit from a factual executive summary at the beginning; good correspondence between sql and analytical findings; perfectly repeatable and logical; be careful about your attribute selections when using a group by clause - grouped attributes should be selected and other attributes should be aggregated or excluded;,0.1,0.4,0.3,0.4,66,why using * all the time
#REDACTED,#REDACTED,26,ms-access,66,"very cool dataset, but where do i find it?; good factual summary of findings; good in-line reference to queries; good use of sql clauses and functions; could benefit from aggregate sql clauses and functions;",0.8,0.5,0.2,0.2,66,need aggregate function. It will be nicer if he put the pics with his finding
#REDACTED,#REDACTED,27,,66,awesome dataset; good dataset identification in terms of attaching the .csv file; good dataset context description; could benefit from a factual executive summary at the beginning; what is the purpose of selecting star (*) when using a group by clause?; avoid counting attributes used in the group by clause in favor of counting distinct identifiers;,0.1,0.4,0.4,0.4,66,why using * all the time
#REDACTED,#REDACTED,30,mysql,66,good executive summary; good organization good analytical context; good sql; could benefit from aggregate sql functions and clauses; not sure about the use of where clause in conjunction with limit clause for the purpose you mention; are you referencing <> when you mean LIKE?,0.8,0.4,0.2,0.2,66,why using * all the time
#REDACTED,#REDACTED,31,,66,good dataset identification but where can i find it?; good mention of factual findings at the beginning; insightful analysis; good statement of assumptions; good use of sql; could benefit from the use of aggregate sql clauses and functions,0.3,0.5,0.2,0.2,66,too simple
#REDACTED,#REDACTED,34,,66,"good dataset context; good analytical insights; could benefit from the use of aggregate sql clauses and functions; if you wanted to find the parks that matched both those conditions, try adding both conditions to the where clause instead of just one and visually scanning for the other; could benefit from an executive factual summary at the beginning; would benefit from additional focus on outcomes over the workings and benefits of sql;",0.8,0.4,0.2,0.2,66,need aggregate function. Too simple and short
#REDACTED,#REDACTED,17,,20,"good description of analytical processes; could benefit from a succinct executive summary in the beginning; be careful of making generalized, unsubstantiated claims; tone demonstrates a fundamental misunderstanding of assignment expectations; needs sql queries; ",0.3,0,0,0,20,no SQL at all
#REDACTED,#REDACTED,1,,0,not yet submitted,,,,,0,
#REDACTED,#REDACTED,3,,0,not yet submitted,,,,,0,
#REDACTED,#REDACTED,32,,0,not yet submitted,,,,,0,
#REDACTED,#REDACTED,33,,0,submitted wrong assignment,,,,,0,Wrong file
